Run number, Algorithm, totalNumOfNodes, numOfNodesVisited, numOfNodesToGoal, elapsedTime
1,algorithms.saa.BFS,2500,434,116,0.5344655
1,algorithms.main.java.com.sam.DFS,2500,158,116,0.3779479
2,algorithms.saa.BFS,2500,381,120,0.4560645
2,algorithms.main.java.com.sam.DFS,2500,204,120,0.503033
3,algorithms.saa.BFS,2500,546,100,0.6415009
3,algorithms.main.java.com.sam.DFS,2500,278,100,0.6948527
4,algorithms.saa.BFS,2500,539,112,0.6410693
4,algorithms.main.java.com.sam.DFS,2500,222,112,0.5427351
5,algorithms.saa.BFS,2500,475,104,0.554256
5,algorithms.main.java.com.sam.DFS,2500,242,104,0.612839
1,algorithms.saa.AStar,2500,596,108,1.4603348
1,algorithms.main.java.com.sam.DFS,2500,374,108,0.911133
2,algorithms.saa.AStar,2500,230,104,0.5603268
2,algorithms.main.java.com.sam.DFS,2500,314,104,0.7693313
3,algorithms.saa.AStar,2500,374,116,0.8959942
3,algorithms.main.java.com.sam.DFS,2500,374,116,0.9360074
4,algorithms.saa.AStar,2500,464,120,1.098243
4,algorithms.main.java.com.sam.DFS,2500,352,120,0.8637011
1,algorithms.saa.AStar,2500,350,120,0.822877
1,algorithms.saa.BFS,2500,462,120,0.5636768
2,algorithms.saa.AStar,2500,424,120,0.9856692
2,algorithms.saa.BFS,2500,379,120,0.4475034
3,algorithms.saa.AStar,2500,348,120,0.8157992
3,algorithms.saa.BFS,2500,581,120,0.6945512
4,algorithms.saa.AStar,2500,192,100,0.468407
4,algorithms.saa.BFS,2500,306,100,0.3415252
5,algorithms.saa.AStar,2500,632,132,1.4603457
5,algorithms.saa.BFS,2500,550,132,0.6519432
6,algorithms.saa.AStar,2500,370,116,0.8437547
6,algorithms.saa.BFS,2500,511,116,0.610659
1,algorithms.saa.AStar,2500,264,120,0.5646218
1,algorithms.saa.BFS,2500,456,120,0.4796971
2,algorithms.saa.AStar,2500,386,104,0.8467365
2,algorithms.saa.BFS,2500,441,104,0.4829687
3,algorithms.saa.AStar,2500,386,128,0.8684434
3,algorithms.saa.BFS,2500,558,128,0.6002698
4,algorithms.saa.AStar,2500,478,112,1.0281828
4,algorithms.saa.BFS,2500,523,112,0.5709356

1, algorithms.saa.AStar, 2500, 206, 104, 0.4414472
1, algorithms.saa.BFS, 2500, 399, 104, 0.4303505
2,algorithms.saa.AStar,2500,576,116,1.2512232
2,algorithms.saa.BFS,2500,440,116,0.4909849
3,algorithms.saa.AStar,2500,1130,148,2.5249708
3,algorithms.saa.BFS,2500,630,148,0.6860326
4,algorithms.saa.AStar,2500,374,108,0.7987328
4,algorithms.saa.BFS,2500,419,108,0.4622512
5,algorithms.saa.AStar,2500,348,104,0.7718743
5,algorithms.saa.BFS,2500,365,104,0.414591
1,algorithms.saa.AStar,2500,422,116,1.012465
1,algorithms.main.java.com.sam.DFS,2500,358,116,0.8776447
1,algorithms.saa.BFSBidirectional,0,0,0,0.0
1,algorithms.saa.AStar,2500,790,108,1.9060629
1,algorithms.saa.BFSBidirectional,0,0,0,0.0
1,algorithms.saa.BFS,2500,636,132,0.736613
1,algorithms.saa.BFSBidirectional,2500,1062,111,2.524581
1,algorithms.saa.BFS,2500,509,112,0.5827443
1,algorithms.saa.BFSBidirectional,2500,812,111,1.9088379
1,algorithms.saa.BFSBidirectional,2500,812,111,1.8947887
1,algorithms.saa.BFSBidirectional,2500,1014,123,2.4318674
1,algorithms.saa.BFSBidirectional,2500,1014,123,2.3989885
1,algorithms.main.java.com.sam.DFSBidirectional,0,0,0,0.0
1,algorithms.saa.AStar,2500,182,100,0.425395
1,algorithms.saa.BFSBidirectional,2500,1221,123,2.8293474
1,algorithms.main.java.com.sam.DFSBidirectional,0,0,0,0.0
1,algorithms.saa.BFSBidirectional,2500,1044,107,2.435337
1,algorithms.main.java.com.sam.DFSBidirectional,2500,700,107,1.6450891
2,algorithms.saa.BFSBidirectional,2500,1248,111,2.8840475
2,algorithms.main.java.com.sam.DFSBidirectional,2500,670,111,1.568135
1,algorithms.main.java.com.sam.DFSBidirectional,2500,488,103,1.1483205
1,algorithms.saa.BFSBidirectional,2500,1136,103,2.7308378
2,algorithms.main.java.com.sam.DFSBidirectional,2500,620,111,1.4599129
2,algorithms.saa.BFSBidirectional,2500,1242,111,2.8987256
3,algorithms.main.java.com.sam.DFSBidirectional,2500,598,107,1.3875408
3,algorithms.saa.BFSBidirectional,2500,1216,107,2.8822465
1,algorithms.main.java.com.sam.DFSBidirectional,2500,516,108,1.1679465
1,algorithms.main.java.com.sam.DFS,2500,242,108,0.5882643
1,algorithms.main.java.com.sam.Dijkstra,2500,791,112,1.8699149
1,algorithms.saa.BFS,2500,509,112,0.6107365
1,algorithms.main.java.com.sam.Dijkstra,2500,1190,112,2.768739
1,algorithms.saa.BFSBidirectional,2500,1190,112,2.745883

1,algorithms.saa.BFS,2500,1173,108,2.7772284
1,algorithms.saa.BFSBidirectional,2500,449,108,0.527366501

1,algorithms.main.java.com.sam.Dijkstra,2500,1240,100,2.9486694
1,algorithms.saa.BFS,2500,1240,100,2.9088792
2,algorithms.main.java.com.sam.Dijkstra,2500,1243,104,2.9867909
2,algorithms.saa.BFS,2500,1243,104,2.9160226
3,algorithms.main.java.com.sam.Dijkstra,2500,710,116,1.6741888
3,algorithms.saa.BFS,2500,710,116,1.6654909
4,algorithms.main.java.com.sam.Dijkstra,2500,1238,112,2.924558
4,algorithms.saa.BFS,2500,1238,112,2.9520013
5,algorithms.main.java.com.sam.Dijkstra,2500,1232,100,2.9432889
5,algorithms.saa.BFS,2500,1232,100,2.8924975

1,algorithms.saa.BFS,2500,1174,112,2.6903178
1,algorithms.saa.BFS,2500,1174,112,2.7712479
2,algorithms.saa.BFS,2500,1148,112,2.7049754
2,algorithms.saa.BFS,2500,1148,112,2.6680789
1,algorithms.saa.AStar,2500,224,100,0.5501803
1,algorithms.saa.BFS,2500,1217,100,2.9349982
1,algorithms.saa.AStar,2500,382,120,0.879511
1,algorithms.saa.AStar,2500,382,120,0.9399366
1,algorithms.saa.AStar,2500,536,112,1.3025425
1,algorithms.saa.AStar,2500,536,112,1.2973698

1,algorithms.main.java.com.sam.Dijkstra,2500,1238,124,3.0456138
1,algorithms.saa.AStar,2500,686,124,1.6607113
2,algorithms.main.java.com.sam.Dijkstra,2500,1088,112,2.6432855
2,algorithms.saa.AStar,2500,506,112,1.2382446

1,algorithms.saa.BFSBidirectional,2500,558,128,0.6531247
1,algorithms.saa.AStar,2500,514,128,1.2183325
2,algorithms.saa.BFSBidirectional,2500,532,104,0.6324702
2,algorithms.saa.AStar,2500,276,104,0.6561021

1,algorithms.saa.AStar,961,90,64,0.2086026
1,algorithms.saa.BFS,961,298,64,0.722866
2,algorithms.saa.AStar,961,226,68,0.553541
2,algorithms.saa.BFS,961,448,68,1.0768216
3,algorithms.saa.AStar,961,288,64,0.7074132
3,algorithms.saa.BFS,961,445,64,1.0823817
4,algorithms.saa.AStar,961,122,56,0.293596
4,algorithms.saa.BFS,961,448,56,1.0574605
5,algorithms.saa.AStar,961,115,68,0.2593526
5,algorithms.saa.BFS,961,343,68,0.7975072

1,algorithms.saa.AStar,0x1,961,213,60,0.5023381,0
1,algorithms.saa.BFSBidirectional,0x1,961,198,60,0.2429735,0
